,rule,counts,rule_id
0,rule0013,4922,0.0
1,rule0012,4919,1.0
2,rule0006,3197,2.0
3,rule0007,3197,3.0
4,rule0002,3158,4.0
5,rule0003,3153,5.0
6,rule0001,2478,6.0
7,rule0014,1502,7.0
8,rule0015,1486,8.0
9,rule0008,1101,9.0
10,rule0009,1095,10.0
11,rule0016,1025,11.0
12,rule0017,1017,12.0
13,rule0004,908,13.0
14,rule0005,906,14.0
15,rule0028,764,15.0
16,rule0026,757,16.0
17,rule0025,757,17.0
18,rule0011,727,18.0
19,rule0010,727,19.0
20,rule0018,645,20.0
21,rule0022,572,21.0
22,rule0021,572,22.0
23,rule0030,563,23.0
24,rule0031,563,24.0
25,rule0027,509,25.0
26,rule0023,483,26.0
27,rule0024,483,27.0
28,rule0029,479,28.0
29,rule0019,423,29.0
30,rule0020,401,30.0
31,rule0032,394,31.0
32,rule0035,388,32.0
33,rule0055,375,33.0
34,rule0056,375,34.0
35,rule0036,370,35.0
36,rule0049,369,36.0
37,rule0050,369,37.0
38,rule0037,366,38.0
39,rule0051,363,39.0
40,rule0053,362,40.0
41,rule0048,362,41.0
42,rule0047,362,42.0
43,rule0038,348,43.0
44,rule0039,348,44.0
45,rule0041,346,45.0
46,rule0042,346,46.0
47,rule0069,295,47.0
48,rule0092,253,48.0
49,rule0091,253,49.0
50,rule0074,240,50.0
51,rule0078,238,51.0
52,rule0059,232,52.0
53,rule0060,232,53.0
54,rule0107,219,54.0
55,rule0040,218,55.0
56,rule0065,216,56.0
57,rule0108,215,57.0
58,rule0034,215,58.0
59,rule0033,215,59.0
60,rule0393,214,60.0
61,rule0394,214,61.0
62,rule0097,200,62.0
63,rule0096,200,63.0
64,rule0098,197,64.0
65,rule1071,185,65.0
66,rule0099,185,66.0
67,rule1072,185,67.0
68,rule0124,181,68.0
69,rule0052,180,69.0
70,rule0079,180,70.0
71,rule0100,177,71.0
72,rule0075,177,72.0
73,rule0076,177,73.0
74,rule0101,177,74.0
75,rule0062,176,75.0
76,rule0061,176,76.0
77,rule0044,176,77.0
78,rule0045,176,78.0
79,rule0125,175,79.0
80,rule0129,174,80.0
81,rule0054,169,81.0
82,rule0082,148,82.0
83,rule0083,148,83.0
84,rule0123,145,84.0
85,rule0122,145,85.0
86,rule0094,142,86.0
87,rule0095,137,87.0
88,rule0089,135,88.0
89,rule0090,135,89.0
90,rule0110,131,90.0
91,rule0043,128,91.0
92,rule0046,128,92.0
93,rule0068,128,93.0
94,rule0070,125,94.0
95,rule0071,125,95.0
96,rule0084,121,96.0
97,rule0085,121,97.0
98,rule0145,117,98.0
99,rule0147,115,99.0
100,rule0103,111,100.0
101,rule0080,110,101.0
102,rule0081,110,102.0
103,rule0088,108,103.0
104,rule0077,107,104.0
105,rule0058,104,105.0
106,rule0057,104,106.0
107,rule0241,103,107.0
108,rule0240,103,108.0
109,rule0378,96,109.0
110,rule0379,96,110.0
111,rule0128,96,111.0
112,rule0127,96,112.0
113,rule0093,93,113.0
114,rule0106,93,114.0
115,rule0102,91,115.0
116,rule0111,90,116.0
117,rule0166,90,117.0
118,rule0167,90,118.0
119,rule0143,89,119.0
120,rule0142,89,120.0
121,rule0288,85,121.0
122,rule0112,84,122.0
123,rule0113,84,123.0
124,rule0309,83,124.0
125,rule0208,83,125.0
126,rule0207,83,126.0
127,rule0803,76,127.0
128,rule0355,76,128.0
129,rule0804,76,129.0
130,rule0064,74,130.0
131,rule0063,74,131.0
132,rule0467,74,132.0
133,rule0214,73,133.0
134,rule0213,73,134.0
135,rule0067,73,135.0
136,rule0066,73,136.0
137,rule0130,70,137.0
138,rule0131,70,138.0
139,rule0132,70,139.0
140,rule0119,70,140.0
141,rule0086,69,141.0
142,rule0087,69,142.0
143,rule0244,68,143.0
144,rule0152,68,144.0
145,rule0936,68,145.0
146,rule0151,68,146.0
147,rule0197,67,147.0
148,rule0257,67,148.0
149,rule0196,67,149.0
150,rule0243,66,150.0
151,rule0242,66,151.0
152,rule0135,64,152.0
153,rule0172,62,153.0
154,rule0183,62,154.0
155,rule0184,62,155.0
156,rule0170,61,156.0
157,rule0171,61,157.0
158,rule0109,61,158.0
159,rule0073,60,159.0
160,rule0072,60,160.0
161,rule0137,58,161.0
162,rule0136,58,162.0
163,rule0157,57,163.0
164,rule0118,57,164.0
165,rule0156,57,165.0
166,rule0169,57,166.0
167,rule0168,57,167.0
168,rule0117,57,168.0
169,rule0121,56,169.0
170,rule0120,56,170.0
171,rule0114,55,171.0
172,rule0115,55,172.0
173,rule0116,55,173.0
174,rule0133,54,174.0
175,rule0134,54,175.0
176,rule0160,53,176.0
177,rule0161,53,177.0
178,rule0210,52,178.0
179,rule0209,52,179.0
180,rule0126,52,180.0
181,rule0326,50,181.0
182,rule0325,50,182.0
183,rule0194,49,183.0
184,rule0223,48,184.0
185,rule0846,48,185.0
186,rule0847,48,186.0
187,rule0224,48,187.0
188,rule0187,47,188.0
189,rule0340,47,189.0
190,rule0188,47,190.0
191,rule0341,47,191.0
192,rule0138,46,192.0
193,rule0215,45,193.0
194,rule0216,45,194.0
195,rule0164,44,195.0
196,rule0104,44,196.0
197,rule0153,44,197.0
198,rule0165,44,198.0
199,rule0238,44,199.0
200,rule0305,44,200.0
201,rule0304,44,201.0
202,rule0239,44,202.0
203,rule0105,44,203.0
204,rule0320,42,204.0
205,rule0321,42,205.0
206,rule0206,42,206.0
207,rule0175,42,207.0
208,rule0205,42,208.0
209,rule0199,41,209.0
210,rule0200,41,210.0
211,rule0295,41,211.0
212,rule0192,41,212.0
213,rule0449,40,213.0
214,rule0298,40,214.0
215,rule0299,40,215.0
216,rule0195,40,216.0
217,rule0273,39,217.0
218,rule0225,39,218.0
219,rule0274,39,219.0
220,rule0189,37,220.0
221,rule0146,36,221.0
222,rule0226,35,222.0
223,rule0420,35,223.0
224,rule0412,34,224.0
225,rule0159,33,225.0
226,rule0158,33,226.0
227,rule0203,32,227.0
228,rule0202,32,228.0
229,rule0383,32,229.0
230,rule0784,32,230.0
231,rule0785,32,231.0
232,rule0382,32,232.0
233,rule0173,31,233.0
234,rule0277,31,234.0
235,rule0174,31,235.0
236,rule0310,31,236.0
237,rule0311,31,237.0
238,rule0139,31,238.0
239,rule0185,31,239.0
240,rule0278,31,240.0
241,rule0230,30,241.0
242,rule0176,30,242.0
243,rule0229,30,243.0
244,rule0163,30,244.0
245,rule0162,30,245.0
246,rule0268,29,246.0
247,rule0267,29,247.0
248,rule0269,29,248.0
249,rule0270,29,249.0
250,rule0193,29,250.0
251,rule0234,29,251.0
252,rule0447,29,252.0
253,rule0323,29,253.0
254,rule0186,28,254.0
255,rule0250,28,255.0
256,rule0679,28,256.0
257,rule0280,28,257.0
258,rule0678,28,258.0
259,rule0279,28,259.0
260,rule0182,28,260.0
261,rule0181,28,261.0
262,rule0354,27,262.0
263,rule0353,27,263.0
264,rule0180,27,264.0
265,rule0198,27,265.0
266,rule0217,27,266.0
267,rule0212,27,267.0
268,rule0148,27,268.0
269,rule0211,27,269.0
270,rule0218,27,270.0
271,rule0179,27,271.0
272,rule0204,26,272.0
273,rule0235,26,273.0
274,rule0343,26,274.0
275,rule0342,26,275.0
276,rule0302,25,276.0
277,rule0469,25,277.0
278,rule0144,25,278.0
279,rule0468,25,279.0
280,rule0347,25,280.0
281,rule0190,25,281.0
282,rule0191,25,282.0
283,rule0348,25,283.0
284,rule0303,25,284.0
285,rule0351,25,285.0
286,rule0352,25,286.0
287,rule0430,24,287.0
288,rule0542,24,288.0
289,rule0294,24,289.0
290,rule0141,24,290.0
291,rule0177,24,291.0
292,rule0178,24,292.0
293,rule0293,24,293.0
294,rule1730,24,294.0
295,rule1729,24,295.0
296,rule0140,24,296.0
297,rule0227,23,297.0
298,rule0246,23,298.0
299,rule0228,23,299.0
300,rule0283,23,300.0
301,rule0245,23,301.0
302,rule0255,23,302.0
303,rule0256,23,303.0
304,rule0258,23,304.0
305,rule0259,23,305.0
306,rule0284,23,306.0
307,rule0734,23,307.0
308,rule0409,23,308.0
309,rule1105,23,309.0
310,rule0762,23,310.0
311,rule0761,23,311.0
312,rule0408,23,312.0
313,rule1104,23,313.0
314,rule0149,23,314.0
315,rule0735,23,315.0
316,rule0330,22,316.0
317,rule0324,22,317.0
318,rule0272,22,318.0
319,rule0399,22,319.0
320,rule0315,22,320.0
321,rule0482,22,321.0
322,rule0384,22,322.0
323,rule0418,22,323.0
324,rule0458,22,324.0
325,rule0314,22,325.0
326,rule1260,22,326.0
327,rule0201,22,327.0
328,rule0459,22,328.0
329,rule1261,22,329.0
330,rule0398,22,330.0
331,rule0232,21,331.0
332,rule0451,21,332.0
333,rule0155,21,333.0
334,rule0154,21,334.0
335,rule0452,21,335.0
336,rule0473,21,336.0
337,rule0472,21,337.0
338,rule0331,21,338.0
339,rule0233,21,339.0
340,rule0361,20,340.0
341,rule0150,20,341.0
342,rule1656,20,342.0
343,rule0296,20,343.0
344,rule0297,20,344.0
345,rule0419,20,345.0
346,rule0951,20,346.0
347,rule0484,20,347.0
348,rule0483,20,348.0
349,rule1655,20,349.0
350,rule0565,19,350.0
351,rule0403,19,351.0
352,rule0490,19,352.0
353,rule0491,19,353.0
354,rule0404,19,354.0
355,rule0237,19,355.0
356,rule0387,19,356.0
357,rule0236,19,357.0
358,rule0276,19,358.0
359,rule0566,19,359.0
360,rule0249,19,360.0
361,rule0231,19,361.0
362,rule0275,19,362.0
363,rule0364,18,363.0
364,rule0335,18,364.0
365,rule0363,18,365.0
366,rule0334,18,366.0
367,rule1019,18,367.0
368,rule1018,18,368.0
369,rule0357,17,369.0
370,rule0470,17,370.0
371,rule0465,17,371.0
372,rule0464,17,372.0
373,rule1232,17,373.0
374,rule1231,17,374.0
375,rule0429,17,375.0
376,rule0289,17,376.0
377,rule0466,17,377.0
378,rule0604,17,378.0
379,rule0350,17,379.0
380,rule0349,17,380.0
381,rule0538,17,381.0
382,rule0266,17,382.0
383,rule0605,17,383.0
384,rule0539,17,384.0
385,rule0471,17,385.0
386,rule0768,16,386.0
387,rule0385,16,387.0
388,rule0222,16,388.0
389,rule0221,16,389.0
390,rule0531,16,390.0
391,rule0219,16,391.0
392,rule0545,16,392.0
393,rule0307,16,393.0
394,rule0308,16,394.0
395,rule0407,16,395.0
396,rule0220,16,396.0
397,rule0767,16,397.0
398,rule0287,16,398.0
399,rule0582,16,399.0
400,rule0271,16,400.0
401,rule0286,16,401.0
402,rule0386,16,402.0
403,rule0546,16,403.0
404,rule0285,16,404.0
405,rule0753,15,405.0
406,rule0754,15,406.0
407,rule1323,15,407.0
408,rule0756,15,408.0
409,rule0254,15,409.0
410,rule0253,15,410.0
411,rule0719,15,411.0
412,rule0518,15,412.0
413,rule0519,15,413.0
414,rule1395,15,414.0
415,rule0598,15,415.0
416,rule0718,15,416.0
417,rule0755,15,417.0
418,rule0322,15,418.0
419,rule0327,14,419.0
420,rule0358,14,420.0
421,rule0509,14,421.0
422,rule0568,14,422.0
423,rule0860,14,423.0
424,rule0247,14,424.0
425,rule0510,14,425.0
426,rule0438,14,426.0
427,rule0569,14,427.0
428,rule0550,14,428.0
429,rule0416,13,429.0
430,rule0497,13,430.0
431,rule0583,13,431.0
432,rule1283,13,432.0
433,rule0450,13,433.0
434,rule0584,13,434.0
435,rule0498,13,435.0
436,rule0415,13,436.0
437,rule0440,13,437.0
438,rule0704,13,438.0
439,rule0705,13,439.0
440,rule0318,13,440.0
441,rule0319,13,441.0
442,rule0392,13,442.0
443,rule0581,13,443.0
444,rule0439,13,444.0
445,rule0549,13,445.0
446,rule0375,13,446.0
447,rule0391,13,447.0
448,rule1282,13,448.0
449,rule0548,12,449.0
450,rule0328,12,450.0
451,rule0564,12,451.0
452,rule0563,12,452.0
453,rule0329,12,453.0
454,rule0615,12,454.0
455,rule0477,12,455.0
456,rule0317,12,456.0
457,rule0677,12,457.0
458,rule0431,12,458.0
459,rule0316,12,459.0
460,rule0301,12,460.0
461,rule0306,12,461.0
462,rule0300,12,462.0
463,rule0504,12,463.0
464,rule0505,12,464.0
465,rule0282,12,465.0
466,rule0281,12,466.0
467,rule0476,12,467.0
468,rule0448,12,468.0
469,rule0523,12,469.0
470,rule0344,12,470.0
471,rule0544,11,471.0
472,rule0390,11,472.0
473,rule0487,11,473.0
474,rule0381,11,474.0
475,rule0380,11,475.0
476,rule0457,11,476.0
477,rule0374,11,477.0
478,rule0456,11,478.0
479,rule0455,11,479.0
480,rule0445,11,480.0
481,rule0338,11,481.0
482,rule0339,11,482.0
483,rule0373,11,483.0
484,rule0372,11,484.0
485,rule0446,11,485.0
486,rule0543,11,486.0
487,rule0453,11,487.0
488,rule0517,11,488.0
489,rule0454,11,489.0
490,rule0830,11,490.0
491,rule0791,11,491.0
492,rule1472,11,492.0
493,rule0790,11,493.0
494,rule0831,11,494.0
495,rule0968,11,495.0
496,rule0969,11,496.0
497,rule1473,11,497.0
498,rule0368,10,498.0
499,rule0369,10,499.0
500,rule0292,10,500.0
501,rule0596,10,501.0
502,rule0291,10,502.0
503,rule0631,10,503.0
504,rule0360,10,504.0
505,rule0265,10,505.0
506,rule0264,10,506.0
507,rule0359,10,507.0
508,rule0597,10,508.0
509,rule0333,10,509.0
510,rule0594,10,510.0
511,rule0593,10,511.0
512,rule0589,10,512.0
513,rule0260,10,513.0
514,rule0252,10,514.0
515,rule0251,10,515.0
516,rule0248,10,516.0
517,rule0503,10,517.0
518,rule1266,10,518.0
519,rule1267,10,519.0
520,rule0461,10,520.0
521,rule0460,10,521.0
522,rule0590,10,522.0
523,rule0261,10,523.0
524,rule0337,10,524.0
525,rule0727,10,525.0
526,rule0760,10,526.0
527,rule0726,10,527.0
528,rule0332,10,528.0
529,rule0759,10,529.0
530,rule0722,10,530.0
531,rule0723,10,531.0
532,rule0336,10,532.0
533,rule0346,9,533.0
534,rule0721,9,534.0
535,rule0567,9,535.0
536,rule0570,9,536.0
537,rule0571,9,537.0
538,rule0611,9,538.0
539,rule0262,9,539.0
540,rule0263,9,540.0
541,rule0560,9,541.0
542,rule0612,9,542.0
543,rule0632,9,543.0
544,rule0633,9,544.0
545,rule0641,9,545.0
546,rule0954,9,546.0
547,rule0552,9,547.0
548,rule0559,9,548.0
549,rule1127,9,549.0
550,rule1882,9,550.0
551,rule1881,9,551.0
552,rule1673,9,552.0
553,rule1394,9,553.0
554,rule1224,9,554.0
555,rule1223,9,555.0
556,rule1126,9,556.0
557,rule0955,9,557.0
558,rule0414,9,558.0
559,rule0413,9,559.0
560,rule1033,9,560.0
561,rule1032,9,561.0
562,rule0551,9,562.0
563,rule0370,9,563.0
564,rule0371,9,564.0
565,rule0720,9,565.0
566,rule0777,9,566.0
567,rule0362,9,567.0
568,rule0693,9,568.0
569,rule0345,9,569.0
570,rule0779,9,570.0
571,rule0663,9,571.0
572,rule0681,9,572.0
573,rule0682,9,573.0
574,rule0664,9,574.0
575,rule0776,9,575.0
576,rule0410,8,576.0
577,rule0990,8,577.0
578,rule0411,8,578.0
579,rule0312,8,579.0
580,rule0480,8,580.0
581,rule0481,8,581.0
582,rule0401,8,582.0
583,rule0400,8,583.0
584,rule0313,8,584.0
585,rule0989,8,585.0
586,rule0670,8,586.0
587,rule0669,8,587.0
588,rule0406,8,588.0
589,rule0572,8,589.0
590,rule0573,8,590.0
591,rule0574,8,591.0
592,rule0405,8,592.0
593,rule0562,8,593.0
594,rule0561,8,594.0
595,rule0556,8,595.0
596,rule0396,8,596.0
597,rule0555,8,597.0
598,rule0778,8,598.0
599,rule0717,8,599.0
600,rule0716,8,600.0
601,rule0591,8,601.0
602,rule0592,8,602.0
603,rule0485,8,603.0
604,rule0397,8,604.0
605,rule0486,8,605.0
606,rule0443,8,606.0
607,rule0441,8,607.0
608,rule0525,8,608.0
609,rule0821,8,609.0
