Name	Reactants	SMARTS	Products	Comments
1.14.13_03	cpd00067;cpd00067;cpd00004;cpd00004;cpd00007;Any	[#1;R0:1].[#1;R0:2].[#1;D1R0:7][#6;H2D4:6][#6;H0D3:5]=[#6;H1D3:4][#7;H0D3:3].[#1;D1R0:12][#6;H2D4:11][#6;H1D3:10]=[#6;H1D3:9][#7;H0D3:8].[#8;H0D1R0:13]=[#8;H0D1R0:14].[#6;H0D3,H3D4AR0,H0D3:15]-;!@[H0;#16;D4,#7D3:16]=[#8;H0D1R0:17]>>[*:1]-[*:13]-[*:15].[*:2]-[*:14]-[*:7].[*:12]-[*:17]-[*:16].[#7+:3]=[*:4]-[*:5]=[*:6].[#7+:8]=[*:9]-[*:10]=[*:11]	Any;cpd00001;Any;cpd00003;cpd00003	
1.14.13_04	cpd00067;cpd00004;cpd00007;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#6;H0D3:10]=[#16;H0D1:9]>>[*:1]-[*:8]-[*:6].[*-:7]-[*+:9]=[*:10].[#7+:2]=[*:3]-[*:4]=[*:5]	cpd00001;Any;cpd00003
1.14.13_05	cpd00067;cpd00004;cpd00007;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#6;H2D4,H0D3,H1D3:10][#16H0!r3;D2,D3:9][#6;H2D4,H0D3,H1D3:11]>>[*:1]-[*:8]-[*:6].[*:10]-[*:9](-[*:11])=[*:7].[#7+:2]=[*:3]-[*:4]=[*:5]	cpd00001;Any;cpd00003
1.14.13_06	cpd00067;cpd00004;cpd00007;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#6;H0D3R1,H2D4R1:9][#6;H2D4R1,H0D3AR0:10]>>[*:1]-[*:8]-[*:6].[*:9]-[*:7]-[*:10].[#7+:2]=[*:3]-[*:4]=[*:5]	cpd00001;Any;cpd00003	
1.14.13_07	cpd00067;cpd00067;cpd00004;cpd00004;cpd00007;Any	[#1;R0:1].[#1;R0:2].[#1;D1R0:7][#6;H2D4:6][#6;H0D3:5]=[#6;H1D3:4][#7;H0D3:3].[#1;D1R0:12][#6;H2D4:11][#6;H0D3:10]=[#6;H1D3:9][#7;H0D3:8].[#8;H0D1R0:13]=[#8;H0D1R0:14].[ClH0D1AR0,#7H2D3AR0,#7H0D3,#6H0D2,#16H0D4,BrH0D1AR0,#8H0D2,#6H1D3AR0,#6H0D3AR0:16]!@[#6;H0D3:15]1=[#6;D3;H0,H1:17][#6;D3;H0,H1:19]=[#6;D3;H0,H1:21][#6;D3;H0,H1:20]=[#6;D3;H0,H1:18]1>>[*:12]-[*:16].[*:2]-[*:14]-[*:7].[#7+:3]=[*:4]-[*:5]=[*:6].[#7+:8]=[*:9]-[*:10]=[*:11].[*:1]-[*:13]-[*:15]-1=[*:17]-[*:19]=[*:21]-[*:20]=[*:18]-1	Any;cpd00003;cpd00003;cpd00001;Any	
1.14.13_08	cpd00067;cpd00004;cpd00007;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#6D3;H2AR0,H0,H1:9]=[#6D3;H2AR0,H0,H1:10]>>[*:1]-[*:8]-[*:6].[*:7]-1-[*:9]-[*:10]-1.[#7+:2]=[*:3]-[*:4]=[*:5]	cpd00001;Any;cpd00003	
1.14.13_09	cpd00067;cpd00004;cpd00007;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#1;D1R0:12][#8;H1D2R0:11][#6;H0D3R0:10]([#6;H0D3:9])=[#8;H0D1R0:13]>>[*:1]-[*:8]-[*:6].[*:9]-[*:7]-[*:12].[*:11]=[*:10]=[*:13].[#7+:2]=[*:3]-[*:4]=[*:5]	cpd00011;Any;cpd00003;cpd00001	8 must be in an aromatic ring. (MM, 6-7-11 based on statement in SF thesis)
1.14.13_10	cpd00067;cpd00004;cpd00007;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#6;H1D3a,H1D3R1,H2D4R1,H3D4AR0,H4D4AR0:9][#1;D1R0:10]>>[*:1]-[*:8]-[*:6].[*:9]-[*:7]-[*:10].[#7+:2]=[*:3]-[*:4]=[*:5]	cpd00001;Any;cpd00003	If 8 is CH or CH2, it must be in a ring. (MM, 6-7-11, based on note in SF thesis)
1.14.15_01	cpd00067;cpd00067;cpd00007;Any	[#1;R0:1].[#1;R0:2].[#8;H0D1R0:3]=[#8;H0D1R0:4].[#6;H0D3,H2D4,H1D4:9][#6;H2D4,H1D4,H0D3,H0D4:6][#6;!r4H0D3:5]([#6;D4;H2,H1:8])=[#8;H0D1R0:7]>>[*:1]-[*:4]-[*:2].[*:9]-[*:6]-[*:3]-[*:5](-[*:8])=[*:7]	cpd00001;Any
1.14.15_02	cpd00067;cpd00067;cpd00007;Any	[#1;R0:1].[#1;R0:2].[#8;H0D1R0:3]=[#8;H0D1R0:4].[#1;D1R0:6][#6;!r3;D4;H2,H1:5]([#6:7])([#6:8])[#6,#1D1AR0:9]>>[*:1]-[*:4]-[*:2].[*:6]-[*:3]-[*:5](-[*:7])(-[*:8])-[*:9]	cpd00001;Any	6,7 must be in a ring of some form.
1.2.1_01	Any;cpd00010;cpd00003	[#1;D1R0:6][#8;H1D2R0:5][#6:4](=[#8;H0D1R0:7])[#6:3][#6:2]([#1;D1R0:1])=[#8;H0D1R0:8].[#16;H1D2R0:9][#1;D1R0:10].[#6;H1D3:14]=[#6;H0D3:13][#6;H1D3:12]=[#7;H0D3:11]>>[#1+:10].[*:5]=[*:4]=[*:7].[*:6]-[*:14]-[*:13]=[*:12]-[*:11].[*:1]-[*:3]-[*:2](-[*:9])=[*:8]	cpd00004;cpd00067;cpd00011;Any	
1.2.1_02	cpd00003;cpd00009;Any	[#6;H1D3:4]=[#6;H0D3:3][#6;H1D3:2]=[#7;H0D3:1].[#1;D1R0:5][#8;H1D2R0:6][#15;H0D4R0:7].[#1;D1R0:12][#6;H1D3R0:10](=[#8;H0D1R0:11])[#6;H1D4:9][#8;H1D2R0:8]>>[#1+:12].[*:5]-[*:4]-[*:3]=[*:2]-[N+0:1].[*:7]-[*:6]-[*:10](=[*:11])-[*:9]-[*:8]	cpd00067;cpd00004;Any	
1.2.1_02.rev	cpd00004;cpd00067;Any	[#1;D1R0:5][#6;H2D4:4][#6;H0D3:3]=[#6;H1D3:2][#7;H0D3:1].[#1;R0:6].[#8;H1D2R0:8][#6;H1D4:7][#6;H0D3:9](=[#8;H0D1R0:10])[#8;H0D2:11][#15;H0D4R0:12]([#8;H1D2R0:13])[#8;H1D2R0:14]>>[#7+:1]=[*:2]-[*:3]=[*:4].[*:6]-[*:11]-[*:12](-[*:13])-[*:14].[*:8]-[*:7]-[*:9](-[*:5])=[*:10]	cpd00003;cpd00009;Any	
1.2.1_03	Any;cpd00001	[#1;D1R0:9][#6:5]1([#6:10])[#8;H0D2:1][#6:2](=[#8;H0D1R0:6])[#6;H1D4:3]([R0;#8H1D2,#1D1:7])[#6;H1D4:4]1[R0;#8H1D2,#1D1:8].[#8;H2D2R0:12][#1;D1R0:11]>>[*:11]-[*:1]-[*:5](-[*:9])(-[*:10])-[*:4](-[*:8])-[*:3](-[*:7])-[*:2](-[*:12])=[*:6]	Any	
1.2.1_03.rev	Any	[#1;D1R0:11][#8;H1D2R0:1][#6:5]([#1;D1R0:9])([#6:10])[#6;H1D4:4]([R0;#8H1D2,#1D1:8])[#6;H1D4:3]([R0;#8H1D2,#1D1:7])[#6:2]([#8;H1D2R0:12])=[#8;H0D1R0:6]>>[*:11]-[*:12].[*:7]-[*:3]-1-[*:4](-[*:8])-[*:5](-[*:9])(-[*:10])-[*:1]-[*:2]-1=[*:6]	cpd00001;Any	
1.2.1_04	cpd00003;Any;cpd00001	[#6;H1D3:4]=[#6;H0D3:3][#6;H1D3:2]=[#7+;H0D3:1].[#1;D1R0:8][#6;D3R0;H1,H2:6]([#6,#1D1AR0:5])=[#8;H0D1R0:7].[#8;H2D2R0:9][#1;D1R0:10]>>[#1+:8].[*:5]-[*:6](-[*:9])=[*:7].[*:10]-[*:4]-[*:3]=[*:2]-[N+0:1]	cpd00067;Any;cpd00004	
1.2.3_01	Any;cpd00010;cpd00007	[#1;D1R0:5][#8;H1D2R0:4][#6:3](=[#8;H0D1R0:7])[#6:2]([#6:1])=[#8;H0D1R0:6].[#16;H1D2R0:8][#1;D1R0:9].[#8;H0D1R0:10]=[#8;H0D1R0:11]>>[*:4]=[*:3]=[*:7].[*:5]-[*:11]-[*:10]-[*:9].[*:1]-[*:2](-[*:8])=[*:6]	cpd00025;cpd00011;Any	
1.2.3_01.rev	Any;cpd00011;cpd00025	[#6:1][#6:2]([#16;H0D2R0:4])=[#8;H0D1R0:3].[#8;H0D1R0:6]=[#6:5]=[#8;H0D1R0:7].[#1;D1R0:8][#8;H1D2R0:11][#8;H1D2R0:10][#1;D1R0:9]>>[*:4]-[*:9].[*:10]=[*:11].[*:8]-[*:6]-[*:5](=[*:7])-[*:2](-[*:1])=[*:3]	Any;cpd00007;Any	
1.2.3_02	Any;cpd00007;cpd00001	[#1;D1R0:1][#6:2]([#6:3])=[#8;H0D1R0:4].[#8;H0D1R0:5]=[#8;H0D1R0:6].[#8;H2D2R0:7][#1;D1R0:8]>>[*:1]-[*:5]-[*:6]-[*:8].[*:3]-[*:2](-[*:7])=[*:4]	cpd00025;Any	
1.2.3_03	Any;cpd00009;cpd00007	[#1;D1R0:7][#8;H1D2R0:6][#6:3](=[#8;H0D1R0:5])[#6:2]([#6:1])=[#8;H0D1R0:4].[#1;D1R0:13][#8;H1D2R0:9][#15;H0D4:8]([#8;H1D2R0:10])([#8;H1D2R0:11])=[#8;H0D1R0:12].[#8;H0D1R0:14]=[#8;H0D1R0:15]>>[*:5]=[*:3]=[*:6].[*:7]-[*:14]-[*:15]-[*:13].[*:1]-[*:2](=[*:4])-[*:9]-[*:8](-[*:10])(-[*:11])=[*:12]	cpd00025;cpd00011;Any	
1.2.4_01	Any;Any	[#1;D1R0:9][#16:8][#6:7][#6;H2D4:6][#6;H2D4:5][#16:4][#6:2]([#6:1])=[#8;H0D1R0:3].[#1;D1R0:15][#6:10]1=[#7:11][#6:12]=[#6:13][#16:14]1>>[*:4]-1-[*:5]-[*:6]-[*:7]-[*:8]-1.[*:9]-[*:3]-[*:2](-[*:1])(-[*:15])-[*:10]-1=[*:11]-[*:12]=[*:13]-[*:14]-1	Any;Any	
1.2.7_01	Any;cpd00001	[#1;D1R0:5][#6:3](=[#8;H0D1R0:4])[#6:2][#8;H1D2R0:1].[#8;H2D2R0:6][#1;D1R0:7]>>[#1+:5].[#1+:7].[*:1]-[*:2]-[*:3](-[*:6])=[*:4]	cpd00067;cpd00067;Any	
1.2.7_02	Any;cpd00001;cpd00003	[#1;D1R0:3][#6;H1D3R0:1](=[#8;H0D1R0:2])[#6:4][#8;H1D2R0:5].[#8;H2D2R0:6][#1;D1R0:7].[#6;H1D3:11]=[#6;H0D3:10][#6;H1D3:9]=[#7+;H0D3:8]>>[#1+:7].[*:3]-[*:11]-[*:10]=[*:9]-[N+0:8].[*:5]-[*:4]-[*:1](-[*:6])=[*:2]	cpd00004;cpd00067;Any	
1.2.7_03	Any;cpd00010	[#1;D1R0:6][#8;H1D2R0:5][#6:2](=[#8;H0D1R0:4])[#6:1]=[#8;H0D1R0:3].[#16;H1D2R0:7][#1;D1R0:8]>>[#1+:6].[#1+:8].[*:7]-[*:1]=[*:3].[*:4]=[*:2]=[*:5]	cpd00067;cpd00067;Any;cpd00011	
1.2.7_04	Any;cpd00003;cpd00010	[#1;D1R0:6][#8;H1D2R0:5][#6;H0D3R0:2](=[#8;H0D1R0:4])[#6;D3;H0,H1AR0:1]=[#8;H0D1R0:3].[#6;H1D3:10]=[#6;H0D3:9][#6;H1D3:8]=[#7+;H0D3:7].[#16;H1D2R0:12][#1;D1R0:11]>>[#1+:11].[*:12]-[*:1]=[*:3].[*:4]=[*:2]=[*:5].[*:6]-[*:10]-[*:9]=[*:8]-[N+0:7]	cpd00067;Any;cpd00011;cpd00004	
1.3.1_01	cpd00003;Any	[#6;H1D3:4]=[#6;H0D3:3][#6;H1D3:2]=[#7+;H0D3:1].[#1;D1R0:6][#6;H1D4:5]1([R0;#8H1D2,ClH0D1,BrH0D1,FH0D1:13])[#6;H1D3:12]=[#6;H0D3:11]([R0;#8H1D2,ClH0D1,BrH0D1,FH0D1:16])[#6;H1D4:9]([#1;D1R0:10])([R0;#8H1D2,ClH0D1,BrH0D1,FH0D1:15])[#6;H1D3:8]=[#6;H0D3:7]1[R0;#8H1D2,ClH0D1,BrH0D1,FH0D1:14]>>[#1+:10].[*:6]-[*:4]-[*:3]=[*:2]-[N+0:1].[*:13]-[*:5]-1=[*:12]-[*:11](-[*:16])=[*:9](-[*:15])-[*:8]=[*:7]-1-[*:14]	cpd00004;cpd00067;Any	
1.3.1_02	cpd00004;cpd00067;Any	[#1;D1R0:5][#6;H2D4:4][#6;H0D3:3]=[#6;H1D3:2][#7;H0D3:1].[#1;R0:6].[#6:7][#6;H0D3;!r3:9]([#6:8])=[#6D3;H0,H1,H2:10]>>[#7+:1]=[*:2]-[*:3]=[*:4].[*:6]-[*:10]-[*:9](-[*:5])(-[*:7])-[*:8]	cpd00003;Any
1.3.1_03	cpd00003;Any	[#6;H1D3:4]=[#6;H0D3:3][#6;H1D3:2]=[#7+;H0D3:1].[#8;H1D2R0:5][#6;H1D4r6:6]([#1;D1R0:9])[#6;H1D4r6:7]([#1;D1R0:10])[#8;H1D2R0:8]>>[N+0:1]-[*:2]=[*:3]-[*:4][*:9].[*:5]-[*:6]=[*:7]-[*:8].[#1+:10]	cpd00067;Any;cpd00004	
1.3.1_04	cpd00003;Any	[#6;H1D3:4]=[#6;H0D3:3][#6;H1D3:2]=[#7+;H0D3:1].[#1;D1R0:5][#8;H1D2R0:6][#6;H0D3R0:7](=[#8;H0D1R0:8])[#6;D4;H0,H1:9]1[#6;D3;H0,H1:10]=[#6;D3;H0,H1:11][#6;D4;H2,H1:12]([#1;D1R0:13])[#6;D3;H0,H1:14]=[#6;D3;H0,H1:15]1>>[#1+:5].[*:6]=[*:7]=[*:8].[*:13]-[*:4]-[*:3]=[*:2]-[N+0:1].[*:9]-1=[*:15]-[*:14]=[*:12]-[*:11]=[*:10]-1	cpd00067;cpd00011;cpd00004;Any	
1.3.1_05	cpd00003;Any	[#6;H1D3:4]=[#6;H0D3:3][#6;H1D3:2]=[#7+;H0D3:1].[#1;D1R0:6][#6;D4;!r3!r4;H1,H2,H3AR0:5][#6;!r3;D4;H1,H2:7]([#1;D1R0:8])[#6;H0D3,#6H1D3,#7H0D2,#7H0D3:9]=[#6;H0D3,#6H1D3,#6H2D3AR0,#8H0D1AR0,#7H0D2,#7H0D3,#7H1D2AR0:10]>>[#1+:6].[*:5]=[*:7]-[*:9]=[*:10].[*:8]-[*:4]-[*:3]=[*:2]-[N+0:1]	cpd00067;Any;cpd00004	"This operator describes the hydrogenation of a carbon carbon double bond. This is mechanism 1.1.1.K from Andy's report although andy uses H2. Let us acknowledge that a variety of redox agents could be used here. I'm not sure if this is reversible, but I donot know if the reverse requires ATP."
1.3.1_05.rev	cpd00067;cpd00004;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H1D3:4]=[#6;H1D3:3][#7;H0D3:2].[#6H0D3,#6H1D3,#6H2D3AR0,#7H1D2AR0,#7H0D2,#7+H0D3:7]=[#6H0D3,#6H1D3,#7+H0D3,#7H0D2:8]-[#6H0D3,#6H1D3,#7H0D2,#7+H0D3:9]=[#6;H0D3,#6H1D3,#6H2D3AR0,#8H0D1AR0,#7H0D2,#7+H0D3,#7H1D2AR0:10]>>[#7+:2]=[*:3]-[*:4]=[*:5].[*:1]-[*:7]-[*:8](-[*:6])-[*:9]=[*:10]	cpd00003;Any	Exact reverse of 1.3.1.a
1.4.1_01	cpd00003;Any;cpd00001	[#6;H1D3:4]=[#6;H0D3:3][#6;H1D3:2]=[#7;H0D3:1].[#1;D1R0:8][#6;D4!r3;H1,H2:6](-;!@[#7;D3;H1,H2AR0:9])([#6,#1D1AR0:5])[#6,#1D1AR0:7].[#1;D1R0:11][#8;H2D2R0:10][#1;D1R0:12]>>[#1+:12].[*:9]-[*:11].[*:5]-[*:6](-[*:7])=[*:10].[*:8]-[*:4]-[*:3]=[*:2]-[N+0:1]	cpd00067;Any;Any;cpd00004
1.4.1_01.rev	cpd00004;Any;cpd00013;cpd00067	[#1;D1R0:5][#6;H2D4:4][#6;H1D3:3]=[#6;H1D3:2][#7;H0D3:1].[#6,#1D1AR0:6][#6;D3;H0,H1AR0,H2AR0:7]([#6,#1D1AR0:8])=[#8;H0D1R0:9].[#7;D3;H2,H3AR0:10][#1;D1R0:11].[#1;R0:12]>>[*:5]-[*:9]-[*:12].[#7+:1]=[*:2]-[*:3]=[*:4].[*:6]-[*:7](-[*:8])(-[*:10])-[*:11]	cpd00003;cpd00001;Any	
1.4.3_01	Any;cpd00001;cpd00007	[#1;D1R0:2][#6D4R0;H1,H2,H3:1][#7D3R0:3].[#8;H2D2R0:4][#1;D1R0:5].[#8;H0D1R0:6]=[#8;H0D1R0:7]>>[*:2]-[*:3].[*:1]=[*:7].[*:4]-[*:6]-[*:5]	Any;Any;cpd00025	Covers 1.4.3.4, 7, 15, 19, 21 and others
1.5.1_01	cpd00003;Any	[#6;H1D3:4]=[#6;H0D3:3][#6;H1D3:2]=[#7+;H0D3:1].[#1;D1R0:9][#6;H1D4R1:6][#7;H1D3!r3:7]([#1;D1R0:8])[#6;H1D4R1:5]>>[#1+:9].[*:5]-[*:7]=[*:6].[*:8]-[*:4]-[*:3]=[*:2]-[N+0:1]	cpd00067;Any;cpd00004	Covers 1.5.1.2, 3, 18, 32, 40, 47 and others
1.5.1_02	cpd00003;Any	[#6;H1D3:4]=[#6;H0D3:3][#6;H1D3:2]=[#7+;H0D3:1].[#1;D1R0:8][#6;H1D4:5][#7+0H0D3!r3;R1,R2:7][#6;H1,H2;D4:6]>>[*:6]-[#7+:7]=[*:5].[*:8]-[*:4]-[*:3]=[*:2]-[N+0:1]	Any;cpd00004	Covers 1.5.1.5, 15, 31 and others
1.5.1_03	cpd00003;Any	[#6;H1D3:4]=[#6;H0D3:3][#6;H1D3:2]=[#7+;H0D3:1].[#1;D1R0:6][#7;H1D3R1;!r5:5][#6;H0D3R2:7]=[#6;H0D3R2:8][#7H1D3R1,#6H2D4R1:9]([#1;D1R0:10])[#6;H0D3:11]>>[#1+:10].[*:6]-[*:4]-[*:3]=[*:2]-[N+0:1].[*:11]-[*:9]=[*:8]-[*:7]=[*:5]	cpd00067;cpd00004;Any	Covers 1.5.1.30, 36, 37, 38, 39, 41, 42, 45 and others
1.5.1_04	cpd00003;Any	[#6;H1D3:4]=[#6;H0D3:3][#6;H1D3:2]=[#7+;H0D3:1].[#1;D1R0:6][#7;H1D3R1:5][#6;H1D4R1:7]([#1;D1R0:8])[#6;H0D3R0:9]([#8;H1D2R0:11])=[#8;H0D1R0:10]>>[#1+:8].[*:6]-[*:4]-[*:3]=[*:2]-[N+0:1].[*:11]-[*:9](=[*:10])-[*:7]=[*:5]	cpd00067;cpd00004;Any	Covers 1.5.1.1, 21, 25 and others
1.5.1_05	cpd00003;cpd00001;Any	[#6;H1D3:4]=[#6;H0D3:3][#6;H1D3:2]=[#7;H0D3:1].[#1;D1R0:6][#8;H2D2R0:5][#1;D1R0:7].[#1;D1R0:12][#6;H1D4R0:11]([#7;H1D3R0:13])[#6;H0D3R0:9]([#8;H1D2R0:8])=[#8;H0D1R0:10]>>[#1+:7].[*:12]-[*:13].[*:6]-[*:4]-[*:3]=[*:2]-[N+0:1].[*:8]-[*:9](=[*:10])-[*:11]=[*:5]	cpd00067;Any;cpd00004;Any	Covers 1.5.1.7, 8, 9, 10, 11, 16 and others
1.7.1_01	cpd00067;cpd00067;cpd00004;cpd00004;Any	[#1;R0:1].[#1;R0:2].[#1;D1R0:7][#6;H2D4:6][#6;H0D3:5]=[#6;H1D3:4][#7;H0D3:3].[#1;D1R0:12][#6;H2D4:11][#6;H1D3:10]=[#6;H1D3:9][#7;H0D3:8].[#6;H0D3,#8H1D2AR0:15][#7;H0D2:13]=;!@[#7;H0D2:14][#6;H0D3,#8H1D2AR0:16]>>[*:1]-[*:13](-[*:2])-[*:15].[*:7]-[*:14](-[*:12])-[*:16].[#7+:3]=[*:4]-[*:5]=[*:6].[#7+:8]=[*:9]-[*:10]=[*:11]	Any;Any;cpd00003;cpd00003
1.7.1_02	cpd00067;cpd00004;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#1;D1R0:11][#8;H1D2R0:10][#7;H1D3R0:8]([#1;D1R0:9])[#6;H0D3:7]>>[*:1]-[*:10]-[*:11].[*:6]-[*:8](-[*:7])-[*:9].[#7+:2]=[*:3]-[*:4]=[*:5]	cpd00001;Any;cpd00003
1.7.1_03	cpd00067;cpd00067;cpd00004;cpd00004;Any	[#1;R0:1].[#1;R0:2].[#1;D1R0:7][#6;H2D4:6][#6;H0D3:5]=[#6;H1D3:4][#7;H0D3:3].[#1;D1R0:12][#6;H2D4:11][#6;H1D3:10]=[#6;H1D3:9][#7;H0D3:8].[#6;H0D3:13][#7;H0D3R0:14](=[#8;H0D1R0:15])=[#8;H0D1R0:16]>>[*:1]-[*:15]-[*:2].[#7+:3]=[*:4]-[*:5]=[*:6].[#7+:8]=[*:9]-[*:10]=[*:11].[*:12]-[*:16]-[*:14](-[*:7])-[*:13]	cpd00003;cpd00003;cpd00001;Any	
1.97.1_01	cpd00067;cpd00067;Any	[#1;R0:1].[#1;R0:2].[#8;H0D1R0:4]=[H0R0sD4,ClD4,ClD3:3]>>[*:3].[*:1]-[*:4]-[*:2]	cpd00001;Any	
1.97.1_02	cpd00067;cpd00067;Any	[#1;R0:1].[#1;R0:2].[#6:5][#6!r3:3]([H0D1R0;Cl,Br,I,F:4])[#6,#1D1AR0,ClH0D1AR0:6]>>[*:2]-[*:4].[*:1]-[*:3](-[*:5])-[*:6]	Any;Any
